caseid	cue	tax_soda	gop	ind	gop_cue	educate	ideology	income
147522255	0	2	0	0	0	4	2	7
147522866	0	4	0	0	0	6	3	15
147523459	1	1	0	1	0	2	3	6
147524794	0	2	1	0	0	3	3	3
147524802	1	2	0	0	0	2	3	2
147524826	0	1	1	0	0	3	5	11
147524856	1	1	1	0	1	2	5	2
147526178	1	1	0	1	0	3	4	9
147526181	0	1	1	0	0	1	5	8
147527468	1	1	1	0	1	5	5	7
147527471	0	3	0	0	0	4	1	7
147528273	1	1	1	0	1	3	4	10
147528789	1	4	1	0	1	3	5	8
147528823	0	1	0	0	0	2	3	5
147528882	0	1	1	0	0	3	5	5
147530397	0	4	0	0	0	3	3	1
147530399	1	1	0	1	0	3	3	7
147530401	1	1	0	0	0	5	2	7
147531035	0	1	1	0	0	2	5	10
147531488	1	4	0	0	0	6	3	10
147531545	1	1	1	0	1	5	3	9
147531895	1	1	0	0	0	3	2	4
147531899	1	3	0	0	0	3	2	3
147532092	1	1	1	0	1	4	4	6
147532589	1	1	1	0	1	2	4	12
147532886	1	1	1	0	1	5	3	9
147533650	1	3	0	0	0	6	3	9
147534008	1	1	1	0	1	3	4	10
147534456	1	4	0	0	0	6	2	8
147534852	0	3	0	0	0	3	3	6
147534870	1	4	0	0	0	2	4	4
147535850	1	4	0	0	0	6	4	3
147536275	1	4	0	0	0	2	3	6
147536309	0	4	0	0	0	3	2	3
147536320	0	1	1	0	0	3	3	9
147537537	1	1	1	0	1	6	4	11
147537793	1	1	0	1	0	2	2	2
147539212	1	2	0	0	0	3	2	1
147539239	1	3	0	0	0	5	2	7
147539248	0	4	0	0	0	5	1	5
147539702	1	1	0	1	0	3	1	8
147540651	1	3	0	0	0	5	2	6
147540657	1	1	0	0	0	2	3	7
147541533	1	4	1	0	1	4	4	2
147541678	1	1	0	1	0	5	3	11
147541749	0	1	1	0	0	5	5	5
147542023	0	2	0	1	0	2	4	2
147542027	1	3	0	0	0	5	1	2
147542035	1	1	0	1	0	1	3	5
147542051	1	2	1	0	1	5	3	6
147543309	0	2	1	0	0	5	3	9
147543315	1	2	1	0	1	5	3	10
147543337	1	2	0	0	0	2	3	2
147543581	1	4	0	0	0	6	2	4
147544548	1	1	1	0	1	5	4	8
147544552	1	4	1	0	1	5	4	10
147544557	1	3	0	0	0	5	3	3
147544558	1	4	0	0	0	1	2	3
